time_utc,distance_km,relative_velocity_km_s,sat_a_lat,sat_a_lon,sat_b_lat,sat_b_lon
2025-12-20T05:13:56.455Z,7201.652207,13.423145,4.288437,79.463658,39.124727,21.266421
2025-12-22T00:05:32.051Z,7324.879171,12.872839,-5.502257,-23.262129,-44.689278,-81.648788
2025-12-16T12:35:00.239Z,7342.293793,14.701392,-60.634818,-45.527736,-23.123214,-123.576063
2025-12-16T23:39:38.174Z,7344.560587,14.583699,-8.260509,161.299111,21.089783,102.853877
2025-12-19T11:47:42.584Z,7355.327057,13.745982,-72.967007,-46.262117,-25.494031,-131.117326
2025-12-18T00:10:51.577Z,7366.533611,14.253072,-67.532630,135.243341,-25.023099,52.107111
2025-12-21T03:26:39.859Z,7488.921750,13.289721,76.669831,-109.807555,23.685311,166.419352
2025-12-18T13:38:16.110Z,7518.228202,14.180918,3.136805,132.354494,-29.345316,72.136036
2025-12-16T22:52:10.643Z,7568.554971,14.723301,11.824795,-7.341377,-18.199840,-67.610467
2025-12-20T04:26:24.148Z,7574.931317,13.670960,-0.906769,-89.118237,-36.787606,-150.104701
2025-12-16T13:22:28.955Z,7575.326109,14.854069,56.775433,124.626732,19.895655,47.272248
2025-12-18T00:58:23.535Z,7702.642543,14.478509,63.571378,-53.318868,21.666018,-136.830683
2025-12-19T12:35:14.724Z,7729.981214,14.006365,69.565662,126.869993,22.477257,39.665012
2025-12-21T23:17:52.955Z,7749.649767,13.188625,2.001266,168.166720,42.629025,106.273793
2025-12-16T14:09:56.704Z,7769.350467,14.949848,-53.285207,-65.747359,-16.977326,-142.286692
2025-12-16T22:04:41.521Z,7776.993871,14.872146,-15.844512,-176.056186,14.875301,121.685886
2025-12-18T12:50:46.283Z,7840.005508,14.407864,-7.207646,-36.336373,26.201323,-99.055189
2025-12-21T04:14:18.404Z,7874.820687,13.518742,-74.005168,65.095438,-21.154483,-23.360237
2025-12-16T21:17:13.808Z,7932.738259,14.976546,19.386368,15.273075,-11.923591,-48.620720
2025-12-16T14:57:25.634Z,7933.851746,15.060248,49.369344,103.783440,13.648524,28.377206
2025-12-20T03:38:50.112Z,7946.510978,13.944919,-2.906759,102.248393,34.081315,38.390133
2025-12-18T01:45:52.921Z,7984.229686,14.630221,-60.048414,117.065335,-18.690263,33.724200
2025-12-16T15:44:53.535Z,8060.249358,15.120205,-45.875894,-87.012871,-10.685916,-161.338171
2025-12-19T13:22:47.794Z,8067.137894,14.202057,-66.329572,-61.638738,-19.684906,-149.916669
2025-12-16T20:29:44.660Z,8067.488147,15.076455,-23.400796,-153.492725,8.534973,140.809088
2025-12-18T12:03:17.549Z,8097.561584,14.586903,10.807920,155.025089,-23.320915,90.231990
2025-12-21T22:30:15.361Z,8109.391164,13.452624,1.049934,-0.346681,-40.665810,-65.132423
2025-12-16T16:32:22.593Z,8152.304380,15.181657,41.921007,82.173047,7.293919,9.210211
2025-12-16T19:42:16.817Z,8152.898596,15.140961,26.925462,37.780844,-5.547218,-29.405001
2025-12-16T17:19:50.552Z,8209.143154,15.201622,-38.418203,-108.863196,-4.299775,179.414442
2025-12-16T18:54:47.623Z,8211.993249,15.187530,-30.924938,-131.067163,2.124542,160.091214
2025-12-16T18:07:19.727Z,8226.154085,15.209817,34.438739,60.114749,0.875469,-10.088496
2025-12-18T02:33:22.308Z,8230.860295,14.807663,56.190006,-72.848077,15.380107,-155.564895
2025-12-21T05:01:56.612Z,8236.747223,13.793347,70.995065,-121.673184,18.345912,146.994757
2025-12-20T02:51:17.478Z,8256.405169,14.164989,6.264910,-66.330938,-31.556016,-132.574201
2025-12-18T11:15:47.623Z,8342.029321,14.765762,-14.867002,-13.688455,20.035094,-80.672996
2025-12-19T14:10:20.428Z,8377.988062,14.430607,62.760518,109.267369,16.551932,20.673647
2025-12-18T03:20:51.775Z,8440.407669,14.920837,-52.639789,96.752737,-12.343232,14.814885
2025-12-21T21:42:36.122Z,8477.270682,13.739562,-4.545808,-168.915596,38.333916,123.267016
2025-12-18T10:28:18.577Z,8524.235252,14.902236,18.447536,177.644990,-17.059433,108.839833
2025-12-20T02:03:43.384Z,8559.213733,14.398285,-10.074094,125.025770,28.650838,56.297872
2025-12-21T05:49:35.241Z,8569.829464,13.999968,-68.107807,49.938366,-15.761349,-42.940087
2025-12-18T04:08:21.283Z,8610.932892,15.048241,48.714198,-93.752324,8.940164,-174.596196
2025-12-19T14:57:53.673Z,8649.753264,14.593279,-59.462084,-80.606418,-13.698208,-169.074490
2025-12-18T09:40:48.481Z,8686.991157,15.023697,-22.483608,8.886209,13.684495,-61.859456
2025-12-18T04:55:50.788Z,8744.614095,15.115513,-45.157105,75.437749,-5.866233,-4.318858
2025-12-21T20:54:58.157Z,8780.284314,13.975215,7.571671,22.571326,-36.167620,-47.730005
2025-12-18T08:53:19.245Z,8791.106432,15.111766,26.053492,-159.834596,-10.644259,127.800329
2025-12-20T01:16:10.435Z,8801.122619,14.580423,13.411424,-43.566438,-25.985045,-114.352774
2025-12-18T05:43:20.521Z,8833.979773,15.184401,41.192114,-115.399858,2.417277,166.204760
2025-12-18T08:05:49.268Z,8870.281543,15.170727,-30.073918,31.327235,7.204867,-42.779357
2025-12-21T06:37:13.854Z,8876.345878,14.244694,64.926157,-139.050664,12.865316,127.302160
2025-12-18T06:30:49.996Z,8889.203439,15.201066,-37.632540,53.554102,0.668820,-23.557734
2025-12-19T15:45:26.727Z,8890.858738,14.777790,55.815305,89.306034,10.484147,1.386281
2025-12-18T07:18:19.865Z,8894.774923,15.206730,33.635801,-137.482666,-4.128830,146.962071
2025-12-20T00:28:36.304Z,9030.160763,14.762352,-17.210294,147.763141,22.930300,74.807491
2025-12-21T20:07:18.760Z,9086.298604,14.221873,-11.055916,-146.007207,33.622865,141.070700
2025-12-19T16:33:00.102Z,9093.022908,14.898712,-52.500887,-101.225309,-7.592983,171.532504
2025-12-21T07:24:52.618Z,9152.381239,14.419658,-61.968965,31.162810,-10.242010,-62.737248
2025-12-19T23:41:03.088Z,9200.507247,14.899048,20.531629,-20.859719,-20.161881,-95.610129
2025-12-19T17:20:33.507Z,9259.645721,15.029647,48.808577,68.170512,4.329335,-18.079842
2025-12-20T22:55:49.045Z,9303.184649,7.951522,25.288549,177.132509,-5.655226,-101.490543
2025-12-21T19:19:40.470Z,9328.920771,14.420793,14.061117,45.467913,-31.301692,-29.591554
2025-12-19T22:53:28.991Z,9352.111908,15.021957,-24.318409,170.421109,17.000248,93.761999
2025-12-19T18:08:06.966Z,9389.100942,15.102531,-45.492908,-122.719927,-1.421412,152.015268
2025-12-21T08:12:31.567Z,9398.432350,14.624130,58.704395,-158.853447,7.283180,107.434467
2025-12-19T22:05:55.634Z,9448.435646,15.108113,27.633172,1.744088,-14.162919,-76.489388
2025-12-19T18:55:40.680Z,9477.797542,15.173111,41.770724,46.377325,-1.863522,-37.616494
2025-12-19T21:18:21.566Z,9520.297048,15.167329,-31.400182,-167.051163,10.927058,113.025313
2025-12-19T19:43:14.201Z,9532.504727,15.193969,-38.459673,-144.727280,4.770281,132.479812
2025-12-19T20:30:48.088Z,9541.229891,15.200215,34.710652,24.186778,-8.043759,-57.121741
2025-12-21T18:32:00.912Z,9569.035968,14.618281,-17.528040,-123.133144,28.592075,159.532590
2025-12-21T09:00:10.424Z,9613.802010,14.760052,-55.725896,10.668319,-4.637995,-82.667259
2025-12-21T17:44:22.370Z,9748.381079,14.774190,20.518842,68.316268,-26.155184,-10.864817
2025-12-21T09:47:49.695Z,9795.181142,14.915888,52.413864,-179.894356,1.637009,87.475608
2025-12-21T16:56:42.712Z,9919.569572,14.916021,-23.966745,-100.323488,23.322555,178.513425
2025-12-21T10:35:28.640Z,9947.084805,15.007272,-49.432896,-10.757828,1.016651,-102.647653
2025-12-21T16:09:03.955Z,10033.552875,15.024537,26.946985,91.083655,-20.799367,8.316903
2025-12-21T11:23:08.094Z,10060.469146,15.108093,46.083390,158.361110,-4.033048,67.502910
2025-12-21T15:21:24.267Z,10133.841378,15.106527,-30.374704,-77.615737,17.879250,-162.111926
2025-12-21T12:10:47.084Z,10146.891741,15.151142,-43.105497,-32.734972,6.680324,-122.603136
2025-12-21T14:33:45.361Z,10181.179027,15.165013,33.349138,113.726539,-15.294608,27.838010
2025-12-21T12:58:26.704Z,10189.963110,15.192613,39.728207,136.183418,-9.691220,47.596794
2025-12-21T13:46:05.665Z,10209.696975,15.185169,-36.752071,-55.060667,12.315177,-142.453118
